Название района;Назва району;Город;Область;Тип
Комиссаровка;Комісарівка;Купянск;Харьковская;Село
Коммунарское;Комунарське;Кегичевка;Харьковская;Село
Коммунист;Комуніст;Харьков;Харьковская;Село
Комсомольское;Комсомольське;Змиев;Харьковская;Село
Комсомольское;Комсомольське;Лозовая;Харьковская;Село
Комсомольское;Комсомольське;Первомайский;Харьковская;Село
Комсомольское;Комсомольське;Великий Бурлук;Харьковская;Село
Комсомольское;Комсомольське;Краснокутск;Харьковская;Село
Комсомольское;Комсомольське;Новая Водолага;Харьковская;Село
Комунар;Комунар;Харьков;Харьковская;Село
Кондрашовка;Кіндрашівка;Купянск;Харьковская;Село
Конное;Кінне;Лозовая;Харьковская;Село
Константиновка;Костянтинівка;Краснокутск;Харьковская;Село
Константиновка;Костянтинівка;Сахновщина;Харьковская;Село
Константовка;Костянтівка;Змиев;Харьковская;Село
Копанки;Копанки;Красноград;Харьковская;Село
Коробочкино;Коробочкине;Чугуев;Харьковская;Село
Коропово;Коропове;Змиев;Харьковская;Село
Коротич;Коротич;Харьков;Харьковская;Село
Костов;Костів;Валки;Харьковская;Село
Котелевка;Котелевка;Краснокутск;Харьковская;Село
Котовка;Котівка;Волчанск;Харьковская;Село
Кохановка;Коханівка;Кегичевка;Харьковская;Село
Кочеток;Кочеток;Чугуев;Харьковская;Село
Крамаровка;Крамарівка;Изюм;Харьковская;Село
Красноград;Красноград;Красноград;Харьковская;Район
Красное;Красне;Кегичевка;Харьковская;Село
Красное;Красне;Первомайский;Харьковская;Село
Краснокутск;Краснокутськ;Краснокутск;Харьковская;Район
Краснопавловка;Краснопавлівка;Лозовая;Харьковская;Село
Крисиное;Крисине;Богодухов;Харьковская;Село
Криштоповка;Криштопівка;Близнюки;Харьковская;Село
Кругляковка;Кругляківка;Купянск;Харьковская;Село
Крутояровка;Крутоярівка;Кегичевка;Харьковская;Село
Крючки;Крючки;Балаклея;Харьковская;Село
Кулиничи;Кулиничі;Харьков;Харьковская;Пригород
Кумы;Куми;Красноград;Харьковская;Село
Кунье;Куньє;Изюм;Харьковская;Село
Купеваха;Куп'єваха;Богодухов;Харьковская;Село
Купянск;Куп'янськ;Купянск;Харьковская;Район
Купянск Узловой;Куп'янськ Вузловий;Купянск;Харьковская;Село
Куриловка;Курилівка;Купянск;Харьковская;Село
Курортное;Курортне;Змиев;Харьковская;Село
Курулька;Курулька;Барвенково;Харьковская;Село
Кутузовка;Кутузівка;Харьков;Харьковская;Село
Кутьковка;Кутьківка;Двуреченское;Харьковская;Село
Лагерное;Лагерне;Харьков;Харьковская;Район
Лебедовка;Лебедівка;Сахновщина;Харьковская;Село
Лебяжье;Леб'яже;Зачепиловка;Харьковская;Село
Лебяжье;Леб'яже;Чугуев;Харьковская;Село
Левада;Левада;Харьков;Харьковская;Район
Левковка;Левківка;Изюм;Харьковская;Село
Левковка;Левківка;Змиев;Харьковская;Село
Ледное;Лідне;Харьков;Харьковская;Район
Ленинка;Ленінка;Красноград;Харьковская;Село
Ленинка;Ленінка;Шевченково;Харьковская;Село
Ленинский;Ленінський;Харьков;Харьковская;Район
Ленинское;Ленінське;Красноград;Харьковская;Село
Лесная Стинка;Лісна Стінка;Купянск;Харьковская;Село
Лесное;Лісне;Дергачи;Харьковская;Село
Лиговка;Лигівка;Сахновщина;Харьковская;Село
Лизогубовка;Лизогубівка;Харьков;Харьковская;Село
Лиман;Лиман;Змиев;Харьковская;Село
Лиман Второй;Лиман Другий;Двуреченское;Харьковская;Село
Лиман Первый;Лиман Перший;Двуреченское;Харьковская;Село
Липковатовка;Липкуватівка;Новая Водолага;Харьковская;Село
Липцы;Липці;Харьков;Харьковская;Село
Липчановка;Липчанівка;Изюм;Харьковская;Село
Липянка;Лип'янка;Красноград;Харьковская;Село
Литвиновка;Литвинівка;Валки;Харьковская;Село
Лозовая;Лозова;Богодухов;Харьковская;Село
Лозовая;Лозова;Боровая;Харьковская;Село
Лозовая;Лозова;Кегичевка;Харьковская;Село
Лозовая;Лозова;Лозовая;Харьковская;Район
Лозовенька;Лозовенька;Балаклея;Харьковская;Село
Лошаково;Лошакове;Волчанск;Харьковская;Село
Лукашовка;Лукашівка;Близнюки;Харьковская;Село
Лукашовка;Лукашівка;Красноград;Харьковская;Село
Лукьянцы;Лук'янці;Харьков;Харьковская;Село
Лысая Гора;Лиса Гора;Харьков;Харьковская;Район
Любовка;Любівка;Краснокутск;Харьковская;Село
Люботин;Люботин;Харьков;Харьковская;Село
Лютовка;Лютівка;Золочев;Харьковская;Село
Ляшовка;Ляшівка;Новая Водолага;Харьковская;Село
Мажарка;Мажарка;Кегичевка;Харьковская;Село
Макарово;Макарове;Золочев;Харьковская;Село
Максимовка;Максимівка;Богодухов;Харьковская;Село
Максимовка;Максимівка;Сахновщина;Харьковская;Село
Малая Вовча;Мала Вовча;Волчанск;Харьковская;Село
Малая Даниловка;Мала Данилівка;Дергачи;Харьковская;Село
Малая Комишуваха;Мала Комишуваха;Изюм;Харьковская;Село
Малая Рогань;Мала Рогань;Харьков;Харьковская;Село
Малая Рогозянка;Мала Рогозянка;Золочев;Харьковская;Село
Малеевка;Маліївка;Боровая;Харьковская;Село
Малиновка;Малинівка;Чугуев;Харьковская;Село
Малые Проходы;Малі Проходи;Дергачи;Харьковская;Село
Малый Бурлук;Малий Бурлук;Великий Бурлук;Харьковская;Село
Малый Орчик;Малий Орчик;Зачепиловка;Харьковская;Село
Мальцевское;Мальцівське;Лозовая;Харьковская;Село
Манченки;Манченки;Харьков;Харьковская;Село
Мартово;Мартове;Печенеги;Харьковская;Село
Мартыновка;Мартинівка;Красноград;Харьковская;Село
Матвеевка;Матвіївка;Богодухов;Харьковская;Село
Медведовка;Медведівка;Кегичевка;Харьковская;Село
Мелиховка;Мелихівка;Новая Водолага;Харьковская;Село
Меловая;Мілова;Балаклея;Харьковская;Село
Меловое;Мілове;Великий Бурлук;Харьковская;Село
Мельниково;Мельникове;Валки;Харьковская;Село
Мерефа;Мерефа;Харьков;Харьковская;Село
Мерло;Мерло;Богодухов;Харьковская;Село
Металловка;Металівка;Волчанск;Харьковская;Село
Мечебилово;Мечебилове;Барвенково;Харьковская;Село
Минковка;Минківка;Валки;Харьковская;Село
Мирное;Мирне;Краснокутск;Харьковская;Село
Мирное;Мирне;Лозовая;Харьковская;Село
Миролюбовка;Миролюбівка;Лозовая;Харьковская;Село
Мироновка;Миронівка;Первомайский;Харьковская;Село
Мироновка;Миронівка;Золочев;Харьковская;Район
Мирошниковка;Мірошниківка;Коломак;Харьковская;Село
Михайловка;Михайлівка;Лозовая;Харьковская;Село
Михайловка;Михайлівка;Первомайский;Харьковская;Село
Михайловка;Михайлівка;Сахновщина;Харьковская;Село
Молодова;Молодова;Волчанск;Харьковская;Село
Моначиновка;Моначинівка;Купянск;Харьковская;Село
Морозовка;Морозівка;Балаклея;Харьковская;Село
Мороховец;Мороховець;Харьков;Харьковская;Село
Москалевка;Москалівка;Харьков;Харьковская;Район
Московка;Московка;Купянск;Харьковская;Село
Московский;Московський;Харьков;Харьковская;Район
Мосьпаново;Мосьпанове;Чугуев;Харьковская;Село
Мохнач;Мохнач;Змиев;Харьковская;Село
Муравлинка;Муравлинка;Новая Водолага;Харьковская;Село
Мурафа;Мурафа;Краснокутск;Харьковская;Село
Нагорное;Нагірне;Зачепиловка;Харьковская;Село
Нагорный;Нагірний;Харьков;Харьковская;Район
Надеждино;Надеждине;Близнюки;Харьковская;Село
Надеждовка;Надеждівка;Лозовая;Харьковская;Село
Натальино;Наталине;Красноград;Харьковская;Село
Немышля;Немишля;Харьков;Харьковская;Район
Нестерное;Нестерне;Волчанск;Харьковская;Село
Нечволодовка;Нечволодівка;Купянск;Харьковская;Село
Нижнее Соленое;Нижче Солоне;Боровая;Харьковская;Село
Нижний Бишкин;Нижній Бішкин;Змиев;Харьковская;Село
Нижний Бурлук;Нижній Бурлук;Шевченково;Харьковская;Село
Низовка;Низівка;Новая Водолага;Харьковская;Село
Николаевка;Миколаївка;Двуреченское;Харьковская;Село
Николаевка;Миколаївка;Зачепиловка;Харьковская;Село
Николаевка;Миколаївка;Лозовая;Харьковская;Село
Николо-Комишовата;Миколо-Комишувата;Красноград;Харьковская;Село
Новая Александровка;Нова Олександрівка;Великий Бурлук;Харьковская;Село
Новая Бавария;Нова Баварія;Харьков;Харьковская;Район
Новая Водолага;Нова Водолага;Новая Водолага;Харьковская;Район
Новая Дмитровка;Нова Дмитрівка;Барвенково;Харьковская;Село
Новая Ивановка;Нова Іванівка;Лозовая;Харьковская;Село
Новая Николаевка;Нова Миколаївка;Барвенково;Харьковская;Село
Новая Парафиевка;Нова Парафіївка;Кегичевка;Харьковская;Село
Новая Чернещина;Нова Чернещина;Сахновщина;Харьковская;Село
Ново-Западный;Ново-Західнийй;Харьков;Харьковская;Район
Новоалександровка;Новоолександрівка;Близнюки;Харьковская;Село
Новоалександровка;Новоолександрівка;Волчанск;Харьковская;Село
Новоалександровка;Новоолександрівка;Сахновщина;Харьковская;Село
Новодмитровка;Новодмитрівка;Сахновщина;Харьковская;Село
Новое;Нове;Первомайский;Харьковская;Село
Новое;Нове;Лозовая;Харьковская;Село
Новое Мажарово;Нове Мажарове;Зачепиловка;Харьковская;Село
Новое Пекельное;Нове Пекельне;Зачепиловка;Харьковская;Село
Новоегорьевка;Новоєгорівка;Двуреченское;Харьковская;Село
Новожаново;Новожаново;Харьков;Харьковская;Район
Новонадеждино;Новонадеждине;Близнюки;Харьковская;Село
Новониколаевка;Новомиколаївка;Шевченково;Харьковская;Село
Новоосиновое;Новоосинове;Купянск;Харьковская;Село
Новопавловка;Новопавлівка;Красноград;Харьковская;Село
Новоплатоновка;Новоплатонівка;Боровая;Харьковская;Село
Новопокровка;Новопокровка;Чугуев;Харьковская;Село
Новоселовка;Новоселівка;Зачепиловка;Харьковская;Село
Новоселовка;Новоселівка;Новая Водолага;Харьковская;Село
Новосёловка;Новоселівка;Близнюки;Харьковская;Село
Новосёловка;Новоселівка;Богодухов;Харьковская;Село
Новосёловка;Новоселівка;Валки;Харьковская;Село
Новосёловка;Новоселівка;Великий Бурлук;Харьковская;Село
Новосёловка;Новоселівка;Красноград;Харьковская;Село
Новосёловка;Новоселівка;Лозовая;Харьковская;Село
Новоселовка;Новоселівка;Харьков;Харьковская;Район
Новостепановка;Новостепанівка;Шевченково;Харьковская;Село
Новоукраинка;Новоукраїнка;Близнюки;Харьковская;Село
Новые Дома;Нові Дома;Харьков;Харьковская;Район
Новый Бурлук;Новий Бурлук;Печенеги;Харьковская;Село
Новый Мерчик;Новий Мерчик;Валки;Харьковская;Село
Нурово;Нурове;Балаклея;Харьковская;Село
Огульцы;Огульці;Валки;Харьковская;Село
Одесская;Одеська;Харьков;Харьковская;Район
Одноробовка;Одноробівка;Золочев;Харьковская;Село
Одноробовка вокзал;Одноробівка вокзал;Золочев;Харьковская;Село
Одрадово;Одрадове;Первомайский;Харьковская;Село
Одринка;Одринка;Новая Водолага;Харьковская;Село
Октябрьский;Жовтневий;Харьков;Харьковская;Район
Октябрьское;Октябрське;Красноград;Харьковская;Село
Олейники;Олійники;Сахновщина;Харьковская;Село
Олешки;Олешки;Харьков;Харьковская;Село
Ольховатка;Вільхуватка;Великий Бурлук;Харьковская;Село
Ольховка;Вільхівка;Харьков;Харьковская;Село
Ольховый Рог;Вільховий Ріг;Красноград;Харьковская;Село
Ольшана;Вільшана;Двуреченское;Харьковская;Село
Ольшаны;Вільшани;Дергачи;Харьковская;Село
Орджоникидзевский;Орджонікідзевський;Харьков;Харьковская;Район
Ордовка;Ордівка;Новая Водолага;Харьковская;Село
Орелька;Орілька;Лозовая;Харьковская;Село
Орчик;Орчик;Зачепиловка;Харьковская;Село
Основа;Основа;Харьков;Харьковская;Район
Островерховка;Островерхівка;Змиев;Харьковская;Село
Островщина;Острівщина;Близнюки;Харьковская;Село
Охочее;Охоче;Новая Водолага;Харьковская;Село
Охримовка;Охрімівка;Волчанск;Харьковская;Село
Очеретово;Очеретове;Валки;Харьковская;Село
Павловка;Павлівка;Богодухов;Харьковская;Село
Павловка;Павлівка;Кегичевка;Харьковская;Село
Павловка;Павлівка;Новая Водолага;Харьковская;Село
Павловка;Павлівка;Харьков;Харьковская;Район
Павловка Вторая;Павлівка Друга;Лозовая;Харьковская;Село
Павлово Поле;Павлове Поле;Харьков;Харьковская;Район
Палатки;Палатки;Новая Водолага;Харьковская;Село
Панютино;Панютине;Лозовая;Харьковская;Село
Парасковия;Парасковія;Кегичевка;Харьковская;Село
Парасковия;Парасковія;Новая Водолага;Харьковская;Село
Пархомовка;Пархомівка;Краснокутск;Харьковская;Село
Пасеки;Пасіки;Змиев;Харьковская;Село
Первомайский;Первомайський;Первомайский;Харьковская;Район
Перекип;Перекіп;Валки;Харьковская;Село
Перемога;Перемога;Золочев;Харьковская;Село
Перемога;Перемога;Лозовая;Харьковская;Село
Перемога;Перемога;Харьков;Харьковская;Село
Пересечная;Пересічна;Дергачи;Харьковская;Село
Першотравневое;Першотравневе;Боровая;Харьковская;Село
Першотравневое;Першотравневе;Двуреченское;Харьковская;Село
Першотравневое;Першотравневе;Змиев;Харьковская;Село
Першотравневое;Першотравневе;Харьков;Харьковская;Село
Пески;Піски;Двуреченское;Харьковская;Село
Пески-Радьковские;Піски-Радьківські;Боровая;Харьковская;Село
Песочин;Пісочин;Харьков;Харьковская;Пригород
Песчанка;Піщанка;Красноград;Харьковская;Село
Песчаное;Піщане;Купянск;Харьковская;Село
Петро-Ивановка;Петро-Іванівка;Двуреченское;Харьковская;Село
Петровка;Петрівка;Золочев;Харьковская;Село
Петровка;Петрівка;Красноград;Харьковская;Село
Петровка;Петрівка;Купянск;Харьковская;Село
Петровка;Петрівка;Шевченково;Харьковская;Село
Петровское;Петрівське;Балаклея;Харьковская;Село
Петровское;Петрівське;Волчанск;Харьковская;Село
Петровское;Петрівське;Лозовая;Харьковская;Село
Петропавловка;Петропавлівка;Богодухов;Харьковская;Село
Петропавловка;Петропавлівка;Волчанск;Харьковская;Село
Петропавловка;Петропавлівка;Купянск;Харьковская;Село
Петрополье;Петропілля;Лозовая;Харьковская;Село
Петрополье;Петропілля;Шевченково;Харьковская;Село
Печенеги;Печеніги;Печенеги;Харьковская;Район
Пивденное;Південне;Харьков;Харьковская;Село
Писаревка;Писарівка;Золочев;Харьковская;Село
Плисовое;Плисове;Лозовая;Харьковская;Село
Плоское;Плоске;Великий Бурлук;Харьковская;Село
Погоновка;Погонівка;Барвенково;Харьковская;Село
Подверки;Подвірки;Дергачи;Харьковская;Село
Подвысокое;Підвисоке;Боровая;Харьковская;Село
Подлиман;Підлиман;Боровая;Харьковская;Село
Подоловка;Подолівка;Барвенково;Харьковская;Село
Подолы;Подоли;Купянск;Харьковская;Село
Подсреднее;Підсереднє;Великий Бурлук;Харьковская;Село
Покотиловка;Покотилівка;Харьков;Харьковская;Село
Покровка;Покровка;Коломак;Харьковская;Село
Полевая;Польова;Дергачи;Харьковская;Село
Полковая Никитовка;Полкова Микитівка;Богодухов;Харьковская;Село
Полтавское;Полтавське;Лозовая;Харьковская;Село
Пономаренки;Пономаренки;Харьков;Харьковская;Село
Поповка;Попівка;Красноград;Харьковская;Село
Поселок Артема;Селище Артема;Харьков;Харьковская;Район
Поселок Жуковского;Селище Жуковського;Харьков;Харьковская;Район
Правда;Правда;Первомайский;Харьковская;Село
Привокзальное;Привокзальне;Валки;Харьковская;Село
Пригожее;Пригоже;Барвенково;Харьковская;Село
Приколотное;Приколотне;Великий Бурлук;Харьковская;Село
Пристин;Пристін;Купянск;Харьковская;Село
Пришиб;Пришиб;Балаклея;Харьковская;Село
Пролетарское;Пролетарське;Волчанск;Харьковская;Село
Пролетарское;Пролетарське;Змиев;Харьковская;Село
Просянка;Просянка;Купянск;Харьковская;Село
Просяное;Просяне;Новая Водолага;Харьковская;Село
Протопоповка;Протопопівка;Балаклея;Харьковская;Село
Протопоповка;Протопопівка;Дергачи;Харьковская;Село
Прудянка;Прудянка;Дергачи;Харьковская;Село
Путевое;Шляхове;Кегичевка;Харьковская;Село
Путевое;Шляхове;Коломак;Харьковская;Село
Пыльная;Пільна;Волчанск;Харьковская;Село
Пятигорское;П'ятигірське;Балаклея;Харьковская;Село
Пятихатки;П'ятихатки;Харьков;Харьковская;Район
Пятницкое;П'ятницьке;Печенеги;Харьковская;Село
Радгоспное;Радгоспне;Близнюки;Харьковская;Село
Раздолье;Роздолля;Первомайский;Харьковская;Село
Рай-Оленовка;Рай-Оленівка;Харьков;Харьковская;Село
Рандава;Рандава;Краснокутск;Харьковская;Село
Рашкина Дача;Рашкина Дача;Харьков;Харьковская;Район
Революционное;Революційне;Волчанск;Харьковская;Село
Редкодуб;Рідкодуб;Двуреченское;Харьковская;Село
Редкодуб;Рідкодуб;Двуреченское;Харьковская;Село
Резниково;Різникове;Волчанск;Харьковская;Село
Резуненково;Різуненкове;Коломак;Харьковская;Село
Репки;Ріпки;Богодухов;Харьковская;Село
Ржавец;Ржавець;Харьков;Харьковская;Село
Ржавчик;Ржавчик;Первомайский;Харьковская;Село
Роганский;Роганський;Харьков;Харьковская;Район
Рогань;Рогань;Харьков;Харьковская;Село
Родичи;Родичі;Харьков;Харьковская;Село
Рокитное;Рокитне;Новая Водолага;Харьковская;Село
Россоховатая;Розсохувата;Кегичевка;Харьковская;Село
Рояковка;Рояківка;Кегичевка;Харьковская;Район
Рубежное;Рубіжне;Волчанск;Харьковская;Село
Рубленое;Рублене;Великий Бурлук;Харьковская;Село
Руновщина;Рунівщина;Зачепиловка;Харьковская;Село
Русская Лозовая;Руська Лозова;Дергачи;Харьковская;Село
Русские Тишки;Руські Тишки;Харьков;Харьковская;Село
Рябоконево;Рябоконеве;Краснокутск;Харьковская;Село
Рябухино;Рябухине;Новая Водолага;Харьковская;Село
Рясное;Рясне;Золочев;Харьковская;Село
Сабурова Дача;Сабурова Дача;Харьков;Харьковская;Район
Савинцы;Савинці;Балаклея;Харьковская;Село
Садовод;Садовод;Великий Бурлук;Харьковская;Село
Садовое;Садове;Близнюки;Харьковская;Село
Садовое;Садове;Красноград;Харьковская;Село
Садовое;Садове;Лозовая;Харьковская;Село
Сазоно-Балановка;Сазоно-Баланівка;Богодухов;Харьковская;Село
Салтовка;Салтівка;Харьков;Харьковская;Район
Самойловка;Самійлівка;Близнюки;Харьковская;Село
Сахновщина;Сахновщина;Сахновщина;Харьковская;Район
Светличное;Світличне;Золочев;Харьковская;Село
Селекционное;Селекційне;Харьков;Харьковская;Село
Селище;Селище;Купянск;Харьковская;Село
Семеновка;Семенівка;Близнюки;Харьковская;Село
Семеновка;Семенівка;Зачепиловка;Харьковская;Село
Семеновка;Семенівка;Шевченково;Харьковская;Село
Сенное;Сінне;Богодухов;Харьковская;Село
Сеньково;Сенькове;Купянск;Харьковская;Село
Серпневое;Серпневе;Валки;Харьковская;Село
Сидоренково;Сидоренкове;Валки;Харьковская;Село
Синиха;Синиха;Купянск;Харьковская;Село
Синичино;Синичине;Изюм;Харьковская;Село
Синьковка;Синьківка;Купянск;Харьковская;Село
Сиряки;Сиряки;Дергачи;Харьковская;Село
Скалоновка;Скалонівка;Зачепиловка;Харьковская;Село
Сковородиновка;Сковородинівка;Золочев;Харьковская;Село
Скрипаи;Скрипаї;Змиев;Харьковская;Село
Слабуновка;Слабунівка;Балаклея;Харьковская;Село
Слатино;Слатине;Дергачи;Харьковская;Село
Слободка;Слобідка;Краснокутск;Харьковская;Село
Смирновка;Смирнівка;Лозовая;Харьковская;Село
Смородьковка;Смородьківка;Купянск;Харьковская;Село
Снежков;Сніжків;Валки;Харьковская;Село
Соколово;Соколове;Змиев;Харьковская;Село
Солоницевка;Солоницівка;Дергачи;Харьковская;Село
Сомовка;Сомівка;Зачепиловка;Харьковская;Село
Сороковка;Сороківка;Харьков;Харьковская;Село
Сортировка;Сортировка;Харьков;Харьковская;Район
Сосновая Горка;Соснова Гірка;Харьков;Харьковская;Район
Сосновка;Соснівка;Красноград;Харьковская;Село
Сосоновка;Сосонівка;Новая Водолага;Харьковская;Село
Софиевка;Софіївка;Близнюки;Харьковская;Село
Софиевка;Софіївка;Кегичевка;Харьковская;Село
Софиевка Первая;Софіївка Перша;Близнюки;Харьковская;Село
Сподобовка;Сподобівка;Шевченково;Харьковская;Село
Средний Бурлук;Середній Бурлук;Великий Бурлук;Харьковская;Село
Станичное;Станичне;Новая Водолага;Харьковская;Село
Старая Водолага;Стара Водолага;Новая Водолага;Харьковская;Село
Старая Гнилица;Стара Гнилиця;Чугуев;Харьковская;Село
Старая Покровка;Стара Покровка;Чугуев;Харьковская;Село
Старая Салтовка;Стара Салтівка;Харьков;Харьковская;Район
Старица;Стариця;Волчанск;Харьковская;Село
Старовировка;Старовірівка;Новая Водолага;Харьковская;Село
Старовировка;Старовірівка;Шевченково;Харьковская;Село
Старое Мажарово;Старе Мажарове;Зачепиловка;Харьковская;Село
Старые Валки;Старі Валки;Валки;Харьковская;Село
Старый Мерчик;Старий Мерчик;Валки;Харьковская;Село
Старый Салтов;Старий Салтів;Волчанск;Харьковская;Село
Степанки;Степанки;Харьков;Харьковская;Село
Степановка;Степанівка;Краснокутск;Харьковская;Село
Степное;Степне;Богодухов;Харьковская;Село
Степовое;Степове;Близнюки;Харьковская;Село
Стрелеча;Стрілеча;Харьков;Харьковская;Село
Студенок;Студенок;Изюм;Харьковская;Село
Суданка;Суданка;Первомайский;Харьковская;Село
Сухини;Сухини;Богодухов;Харьковская;Село
Тавежня;Тавежня;Сахновщина;Харьковская;Село
Таволжанка;Тавільжанка;Двуреченское;Харьковская;Село
Тарановка;Таранівка;Змиев;Харьковская;Село
Темновка;Темнівка;Харьков;Харьковская;Село
Терновая;Тернова;Харьков;Харьковская;Село
Терновая;Тернова;Чугуев;Харьковская;Село
Терны;Терни;Двуреченское;Харьковская;Село
Тимченки;Тимченки;Змиев;Харьковская;Село
Тихополье;Тихопілля;Лозовая;Харьковская;Село
Тишенковка;Тишенківка;Красноград;Харьковская;Село
Токаревка;Токарівка;Двуреченское;Харьковская;Село
Токаревка;Токарівка;Дергачи;Харьковская;Село
Томаховка;Томахівка;Волчанск;Харьковская;Село
Тополи;Тополі;Двуреченское;Харьковская;Село
Троицкое;Троїцьке;Шевченково;Харьковская;Село
Тюринка;Тюринка;Харьков;Харьковская;Район
Уды;Уди;Золочев;Харьковская;Село
Украинка;Українка;Красноград;Харьковская;Село
Украинское;Українське;Волчанск;Харьковская;Село
Ульяновка;Улянівка;Богодухов;Харьковская;Село
Ульяновка;Улянівка;Зачепиловка;Харьковская;Село
Уплатное;Уплатне;Близнюки;Харьковская;Село
Устимовка;Устимівка;Зачепиловка;Харьковская;Село
Устиновка;Устинівка;Великий Бурлук;Харьковская;Село
Утковка;Утківка;Харьков;Харьковская;Село
Федоровка;Федорівка;Великий Бурлук;Харьковская;Село
Федоровка;Федорівка;Лозовая;Харьковская;Село
Федоровка;Федорівка;Новая Водолага;Харьковская;Село
Федоровка;Федорівка;Шевченково;Харьковская;Село
Фески;Феськи;Золочев;Харьковская;Село
Филипповка;Пилипівка;Харьков;Харьковская;Район
Флоринка;Флоринка;Харьков;Харьковская;Район
Фрунзе;Фрунзе;Харьков;Харьковская;Пригород
Фрунзенский;Фрунзенський;Харьков;Харьковская;Район
Хатное;Хатнє;Великий Бурлук;Харьковская;Село
Хворостово;Хворостове;Валки;Харьковская;Село
Холодная Гора;Холодна Гора;Харьков;Харьковская;Район
Хорошево;Хорошеве;Харьков;Харьковская;Село
Хотемля;Хотімля;Волчанск;Харьковская;Село
Хрестище;Хрестище;Красноград;Харьковская;Село
Хроли;Хроли;Харьков;Харьковская;Село
Хрущова Никитовка;Хрущова Микитівка;Богодухов;Харьковская;Село
ХТЗ;ХТЗ;Харьков;Харьковская;Район
Цаповка;Цапівка;Золочев;Харьковская;Село
Царедаровка;Царедарівка;Лозовая;Харьковская;Село
Циркуны;Циркуни;Харьков;Харьковская;Пригород
Цуповка;Цупівка;Дергачи;Харьковская;Село
Чапаево;Чапаєве;Кегичевка;Харьковская;Село
Чемужовка;Чемужівка;Змиев;Харьковская;Село
Чеполь;Чепіль;Балаклея;Харьковская;Село
Червоная Гусаровка;Червона Гусарівка;Балаклея;Харьковская;Село
Червоная Нива;Червона Нива;Богодухов;Харьковская;Село
Червоная Поляна;Червона Поляна;Новая Водолага;Харьковская;Село
Червоная Хвиля;Червона Хвиля;Великий Бурлук;Харьковская;Село
Червоноармейское Второе;Червоноармійське Друге;Волчанск;Харьковская;Село
Червоноармейское Первое;Червоноармійське Перше;Волчанск;Харьковская;Село
Червоное;Червоне;Барвенково;Харьковская;Село
Червоное;Червоне;Красноград;Харьковская;Село
Червонозаводской;Червонозаводський;Харьков;Харьковская;Район
Червоный Донец;Червоний Донець;Балаклея;Харьковская;Село
Червоный Жовтень;Червоний Жовтень;Зачепиловка;Харьковская;Село
Червоный Оскол;Червоний Оскіл;Изюм;Харьковская;Село
Червоный Шахтар;Червоний Шахтар;Изюм;Харьковская;Село
Червоный Яр;Червоний Яр;Балаклея;Харьковская;Село
Черемушная;Черемушна;Валки;Харьковская;Село
Черемушное;Черемушне;Змиев;Харьковская;Село
Черкасская Лозовая;Черкаська Лозова;Дергачи;Харьковская;Село
Черкасские Тишки;Черкаські Тишки;Харьков;Харьковская;Село
Черкасский Бишкин;Черкаський Бишкин;Змиев;Харьковская;Село
Чернещина;Чернещина;Боровая;Харьковская;Село
Чернещина;Чернещина;Зачепиловка;Харьковская;Село
Чернещина;Чернещина;Краснокутск;Харьковская;Село
Черниговское;Чернігівське;Лозовая;Харьковская;Село
Черноглазовка;Чорноглазівка;Золочев;Харьковская;Село
Черное;Чорне;Великий Бурлук;Харьковская;Село
Чернолозка;Чорнолозка;Сахновщина;Харьковская;Село
Чистоводовка;Чистоводівка;Изюм;Харьковская;Село
Чкаловское;Чкаловське;Чугуев;Харьковская;Село
Чугуев;Чугуїв;Чугуев;Харьковская;Район
Чугуновка;Чугунівка;Великий Бурлук;Харьковская;Село
Шаровка;Шарівка;Богодухов;Харьковская;Село
Шаровка;Шарівка;Валки;Харьковская;Село
Шатиловка;Шатилівка;Харьков;Харьковская;Район
Шатовка;Шатівка;Лозовая;Харьковская;Село
Шебелинка;Шебелинка;Балаклея;Харьковская;Село
Шевеловка;Шевелівка;Балаклея;Харьковская;Село
Шевченково;Шевченкове;Великий Бурлук;Харьковская;Село
Шевченково;Шевченкове;Сахновщина;Харьковская;Село
Шевченково;Шевченкове;Шевченково;Харьковская;Район
Шевченково Первое;Шевченкове Перше;Волчанск;Харьковская;Село
Шелестово;Шелестове;Коломак;Харьковская;Село
Шелудьковка;Шелудьківка;Змиев;Харьковская;Село
Шестаково;Шестакове;Волчанск;Харьковская;Село
Шийковка;Шийківка;Боровая;Харьковская;Село
Шиповатое;Шипувате;Великий Бурлук;Харьковская;Село
Широкое;Широке;Близнюки;Харьковская;Село
Шишковка;Шишковка;Харьков;Харьковская;Район
Шубино;Шубіне;Харьков;Харьковская;Район
Шульское;Шульське;Первомайский;Харьковская;Село
Юрченково;Юрченкове;Волчанск;Харьковская;Село
Юрченково;Юрченкове;Чугуев;Харьковская;Село
Яворское;Явірське;Балаклея;Харьковская;Село
Ягодное;Ягідне;Купянск;Харьковская;Село
Яковенково;Яковенкове;Балаклея;Харьковская;Село
Яковлевка;Яковлівка;Лозовая;Харьковская;Село
Яковлевка;Яковлівка;Харьков;Харьковская;Село
Яремовка;Яремівка;Изюм;Харьковская;Село
Ясная Поляна;Ясна Поляна;Красноград;Харьковская;Село
1-й Янтарный;1-й Янтарний;Херсон;Херсонская;Район
2-й Янтарный;2-й Янтарний;Херсон;Херсонская;Район
